,city,total_cases,weekofyear,year
0,sj,10,18,2008
1,sj,11,19,2008
2,sj,10,20,2008
3,sj,9,21,2008
4,sj,10,22,2008
5,sj,13,23,2008
6,sj,12,24,2008
7,sj,22,25,2008
8,sj,19,26,2008
9,sj,21,27,2008
10,sj,22,28,2008
11,sj,26,29,2008
12,sj,32,30,2008
13,sj,29,31,2008
14,sj,54,32,2008
15,sj,54,33,2008
16,sj,34,34,2008
17,sj,47,35,2008
18,sj,36,36,2008
19,sj,38,37,2008
20,sj,48,38,2008
21,sj,58,39,2008
22,sj,63,40,2008
23,sj,68,41,2008
24,sj,59,42,2008
25,sj,75,43,2008
26,sj,80,44,2008
27,sj,58,45,2008
28,sj,43,46,2008
29,sj,42,47,2008
30,sj,55,48,2008
31,sj,33,49,2008
32,sj,38,50,2008
33,sj,31,51,2008
34,sj,35,52,2008
35,sj,43,1,2009
36,sj,28,2,2009
37,sj,29,3,2009
38,sj,28,4,2009
39,sj,30,5,2009
40,sj,22,6,2009
41,sj,15,7,2009
42,sj,18,8,2009
43,sj,17,9,2009
44,sj,18,10,2009
45,sj,8,11,2009
46,sj,10,12,2009
47,sj,9,13,2009
48,sj,8,14,2009
49,sj,5,15,2009
50,sj,8,16,2009
51,sj,11,17,2009
52,sj,9,18,2009
53,sj,6,19,2009
54,sj,11,20,2009
55,sj,9,21,2009
56,sj,15,22,2009
57,sj,18,23,2009
58,sj,14,24,2009
59,sj,23,25,2009
60,sj,17,26,2009
61,sj,22,27,2009
62,sj,15,28,2009
63,sj,31,29,2009
64,sj,43,30,2009
65,sj,51,31,2009
66,sj,42,32,2009
67,sj,46,33,2009
68,sj,49,34,2009
69,sj,55,35,2009
70,sj,63,36,2009
71,sj,35,37,2009
72,sj,60,38,2009
73,sj,48,39,2009
74,sj,49,40,2009
75,sj,44,41,2009
76,sj,49,42,2009
77,sj,48,43,2009
78,sj,79,44,2009
79,sj,66,45,2009
80,sj,60,46,2009
81,sj,59,47,2009
82,sj,58,48,2009
83,sj,57,49,2009
84,sj,47,50,2009
85,sj,36,51,2009
86,sj,37,52,2009
87,sj,38,53,2010
88,sj,30,1,2010
89,sj,47,2,2010
90,sj,38,3,2010
91,sj,31,4,2010
92,sj,25,5,2010
93,sj,21,6,2010
94,sj,18,7,2010
95,sj,17,8,2010
96,sj,23,9,2010
97,sj,18,10,2010
98,sj,19,11,2010
99,sj,14,12,2010
100,sj,11,13,2010
101,sj,9,14,2010
102,sj,10,15,2010
103,sj,11,16,2010
104,sj,10,17,2010
105,sj,10,18,2010
106,sj,9,19,2010
107,sj,13,20,2010
108,sj,14,21,2010
109,sj,15,22,2010
110,sj,16,23,2010
111,sj,19,24,2010
112,sj,20,25,2010
113,sj,21,26,2010
114,sj,31,27,2010
115,sj,32,28,2010
116,sj,36,29,2010
117,sj,36,30,2010
118,sj,62,31,2010
119,sj,73,32,2010
120,sj,70,33,2010
121,sj,110,34,2010
122,sj,50,35,2010
123,sj,36,36,2010
124,sj,43,37,2010
125,sj,38,38,2010
126,sj,51,39,2010
127,sj,48,40,2010
128,sj,46,41,2010
129,sj,48,42,2010
130,sj,86,43,2010
131,sj,64,44,2010
132,sj,41,45,2010
133,sj,40,46,2010
134,sj,52,47,2010
135,sj,43,48,2010
136,sj,31,49,2010
137,sj,49,50,2010
138,sj,34,51,2010
139,sj,31,52,2011
140,sj,31,1,2011
141,sj,25,2,2011
142,sj,33,3,2011
143,sj,27,4,2011
144,sj,23,5,2011
145,sj,19,6,2011
146,sj,17,7,2011
147,sj,18,8,2011
148,sj,16,9,2011
149,sj,17,10,2011
150,sj,10,11,2011
151,sj,7,12,2011
152,sj,13,13,2011
153,sj,14,14,2011
154,sj,9,15,2011
155,sj,10,16,2011
156,sj,10,17,2011
157,sj,10,18,2011
158,sj,9,19,2011
159,sj,10,20,2011
160,sj,11,21,2011
161,sj,17,22,2011
162,sj,11,23,2011
163,sj,21,24,2011
164,sj,19,25,2011
165,sj,17,26,2011
166,sj,29,27,2011
167,sj,29,28,2011
168,sj,29,29,2011
169,sj,52,30,2011
170,sj,67,31,2011
171,sj,52,32,2011
172,sj,45,33,2011
173,sj,57,34,2011
174,sj,60,35,2011
175,sj,56,36,2011
176,sj,46,37,2011
177,sj,31,38,2011
178,sj,40,39,2011
179,sj,43,40,2011
180,sj,45,41,2011
181,sj,58,42,2011
182,sj,87,43,2011
183,sj,51,44,2011
184,sj,67,45,2011
185,sj,55,46,2011
186,sj,45,47,2011
187,sj,48,48,2011
188,sj,55,49,2011
189,sj,49,50,2011
190,sj,31,51,2011
191,sj,31,52,2012
192,sj,27,1,2012
193,sj,29,2,2012
194,sj,27,3,2012
195,sj,29,4,2012
196,sj,24,5,2012
197,sj,20,6,2012
198,sj,16,7,2012
199,sj,16,8,2012
200,sj,19,9,2012
201,sj,20,10,2012
202,sj,14,11,2012
203,sj,12,12,2012
204,sj,13,13,2012
205,sj,12,14,2012
206,sj,8,15,2012
207,sj,9,16,2012
208,sj,9,17,2012
209,sj,9,18,2012
210,sj,10,19,2012
211,sj,11,20,2012
212,sj,13,21,2012
213,sj,10,22,2012
214,sj,14,23,2012
215,sj,16,24,2012
216,sj,21,25,2012
217,sj,24,26,2012
218,sj,23,27,2012
219,sj,23,28,2012
220,sj,33,29,2012
221,sj,39,30,2012
222,sj,46,31,2012
223,sj,80,32,2012
224,sj,49,33,2012
225,sj,58,34,2012
226,sj,45,35,2012
227,sj,59,36,2012
228,sj,81,37,2012
229,sj,62,38,2012
230,sj,42,39,2012
231,sj,46,40,2012
232,sj,72,41,2012
233,sj,47,42,2012
234,sj,49,43,2012
235,sj,48,44,2012
236,sj,61,45,2012
237,sj,50,46,2012
238,sj,60,47,2012
239,sj,57,48,2012
240,sj,61,49,2012
241,sj,43,50,2012
242,sj,33,51,2012
243,sj,28,1,2013
244,sj,26,2,2013
245,sj,28,3,2013
246,sj,24,4,2013
247,sj,29,5,2013
248,sj,19,6,2013
249,sj,14,7,2013
250,sj,17,8,2013
251,sj,19,9,2013
252,sj,17,10,2013
253,sj,9,11,2013
254,sj,10,12,2013
255,sj,13,13,2013
256,sj,11,14,2013
257,sj,9,15,2013
258,sj,8,16,2013
259,sj,10,17,2013
0,iq,1,26,2010
1,iq,1,27,2010
2,iq,0,28,2010
3,iq,4,29,2010
4,iq,1,30,2010
5,iq,3,31,2010
6,iq,3,32,2010
7,iq,3,33,2010
8,iq,2,34,2010
9,iq,2,35,2010
