city,total_cases,weekofyear,year
sj,7,18,2008
sj,7,19,2008
sj,7,20,2008
sj,7,21,2008
sj,7,22,2008
sj,7,23,2008
sj,7,24,2008
sj,7,25,2008
sj,14,26,2008
sj,13,27,2008
sj,8,28,2008
sj,15,29,2008
sj,14,30,2008
sj,14,31,2008
sj,30,32,2008
sj,30,33,2008
sj,27,34,2008
sj,39,35,2008
sj,138,36,2008
sj,35,37,2008
sj,41,38,2008
sj,42,39,2008
sj,72,40,2008
sj,39,41,2008
sj,45,42,2008
sj,37,43,2008
sj,37,44,2008
sj,33,45,2008
sj,37,46,2008
sj,36,47,2008
sj,38,48,2008
sj,36,49,2008
sj,24,50,2008
sj,21,51,2008
sj,25,52,2008
sj,49,1,2009
sj,21,2,2009
sj,25,3,2009
sj,26,4,2009
sj,41,5,2009
sj,13,6,2009
sj,19,7,2009
sj,19,8,2009
sj,18,9,2009
sj,10,10,2009
sj,10,11,2009
sj,10,12,2009
sj,9,13,2009
sj,8,14,2009
sj,7,15,2009
sj,7,16,2009
sj,7,17,2009
sj,7,18,2009
sj,7,19,2009
sj,7,20,2009
sj,7,21,2009
sj,12,22,2009
sj,7,23,2009
sj,7,24,2009
sj,15,25,2009
sj,7,26,2009
sj,14,27,2009
sj,13,28,2009
sj,19,29,2009
sj,25,30,2009
sj,23,31,2009
sj,24,32,2009
sj,27,33,2009
sj,25,34,2009
sj,36,35,2009
sj,35,36,2009
sj,39,37,2009
sj,38,38,2009
sj,36,39,2009
sj,36,40,2009
sj,38,41,2009
sj,51,42,2009
sj,30,43,2009
sj,34,44,2009
sj,26,45,2009
sj,25,46,2009
sj,31,47,2009
sj,47,48,2009
sj,71,49,2009
sj,29,50,2009
sj,65,51,2009
sj,27,52,2009
sj,70,53,2010
sj,48,1,2010
sj,44,2,2010
sj,51,3,2010
sj,51,4,2010
sj,24,5,2010
sj,19,6,2010
sj,28,7,2010
sj,30,8,2010
sj,43,9,2010
sj,15,10,2010
sj,12,11,2010
sj,17,12,2010
sj,14,13,2010
sj,7,14,2010
sj,7,15,2010
sj,7,16,2010
sj,21,17,2010
sj,12,18,2010
sj,7,19,2010
sj,12,20,2010
sj,15,21,2010
sj,37,22,2010
sj,40,23,2010
sj,25,24,2010
sj,27,25,2010
sj,38,26,2010
sj,40,27,2010
sj,36,28,2010
sj,34,29,2010
sj,35,30,2010
sj,31,31,2010
sj,89,32,2010
sj,47,33,2010
sj,89,34,2010
sj,140,35,2010
sj,106,36,2010
sj,136,37,2010
sj,37,38,2010
sj,40,39,2010
sj,39,40,2010
sj,96,41,2010
sj,50,42,2010
sj,26,43,2010
sj,137,44,2010
sj,35,45,2010
sj,44,46,2010
sj,35,47,2010
sj,27,48,2010
sj,33,49,2010
sj,23,50,2010
sj,16,51,2010
sj,31,52,2011
sj,21,1,2011
sj,47,2,2011
sj,42,3,2011
sj,26,4,2011
sj,22,5,2011
sj,17,6,2011
sj,13,7,2011
sj,14,8,2011
sj,13,9,2011
sj,10,10,2011
sj,10,11,2011
sj,10,12,2011
sj,9,13,2011
sj,7,14,2011
sj,7,15,2011
sj,7,16,2011
sj,8,17,2011
sj,7,18,2011
sj,7,19,2011
sj,7,20,2011
sj,12,21,2011
sj,24,22,2011
sj,20,23,2011
sj,32,24,2011
sj,32,25,2011
sj,27,26,2011
sj,28,27,2011
sj,22,28,2011
sj,18,29,2011
sj,37,30,2011
sj,27,31,2011
sj,83,32,2011
sj,29,33,2011
sj,96,34,2011
sj,46,35,2011
sj,38,36,2011
sj,40,37,2011
sj,36,38,2011
sj,44,39,2011
sj,40,40,2011
sj,35,41,2011
sj,31,42,2011
sj,33,43,2011
sj,38,44,2011
sj,36,45,2011
sj,30,46,2011
sj,33,47,2011
sj,36,48,2011
sj,17,49,2011
sj,79,50,2011
sj,24,51,2011
sj,28,52,2012
sj,23,1,2012
sj,25,2,2012
sj,23,3,2012
sj,23,4,2012
sj,21,5,2012
sj,17,6,2012
sj,14,7,2012
sj,18,8,2012
sj,12,9,2012
sj,10,10,2012
sj,10,11,2012
sj,10,12,2012
sj,9,13,2012
sj,7,14,2012
sj,7,15,2012
sj,8,16,2012
sj,7,17,2012
sj,7,18,2012
sj,7,19,2012
sj,12,20,2012
sj,17,21,2012
sj,7,22,2012
sj,12,23,2012
sj,15,24,2012
sj,13,25,2012
sj,17,26,2012
sj,14,27,2012
sj,16,28,2012
sj,24,29,2012
sj,26,30,2012
sj,17,31,2012
sj,31,32,2012
sj,42,33,2012
sj,31,34,2012
sj,28,35,2012
sj,36,36,2012
sj,38,37,2012
sj,33,38,2012
sj,36,39,2012
sj,60,40,2012
sj,38,41,2012
sj,40,42,2012
sj,39,43,2012
sj,31,44,2012
sj,45,45,2012
sj,36,46,2012
sj,35,47,2012
sj,33,48,2012
sj,32,49,2012
sj,14,50,2012
sj,13,51,2012
sj,25,1,2013
sj,23,2,2013
sj,17,3,2013
sj,23,4,2013
sj,24,5,2013
sj,16,6,2013
sj,19,7,2013
sj,13,8,2013
sj,12,9,2013
sj,10,10,2013
sj,10,11,2013
sj,10,12,2013
sj,13,13,2013
sj,7,14,2013
sj,7,15,2013
sj,7,16,2013
sj,7,17,2013
iq,4,26,2010
iq,1,27,2010
iq,5,28,2010
iq,1,29,2010
iq,1,30,2010
iq,1,31,2010
iq,1,32,2010
iq,1,33,2010
iq,1,34,2010
iq,2,35,2010
iq,1,36,2010
iq,2,37,2010
iq,3,38,2010
iq,2,39,2010
iq,2,40,2010
iq,2,41,2010
iq,4,42,2010
iq,5,43,2010
iq,6,44,2010
iq,5,45,2010
iq,5,46,2010
iq,5,47,2010
iq,5,48,2010
iq,5,49,2010
iq,4,50,2010
iq,2,51,2010
iq,4,52,2011
iq,11,1,2011
iq,12,2,2011
iq,15,3,2011
iq,7,4,2011
iq,11,5,2011
iq,17,6,2011
iq,16,7,2011
iq,12,8,2011
iq,14,9,2011
iq,6,10,2011
iq,6,11,2011
iq,6,12,2011
iq,5,13,2011
iq,5,14,2011
iq,5,15,2011
iq,4,16,2011
iq,5,17,2011
iq,5,18,2011
iq,1,19,2011
iq,1,20,2011
iq,4,21,2011
iq,1,22,2011
iq,1,23,2011
iq,1,24,2011
iq,1,25,2011
iq,1,26,2011
iq,1,27,2011
iq,1,28,2011
iq,1,29,2011
iq,1,30,2011
iq,1,31,2011
iq,1,32,2011
iq,3,33,2011
iq,2,34,2011
iq,2,35,2011
iq,2,36,2011
iq,1,37,2011
iq,1,38,2011
iq,3,39,2011
iq,2,40,2011
iq,5,41,2011
iq,5,42,2011
iq,5,43,2011
iq,4,44,2011
iq,5,45,2011
iq,5,46,2011
iq,5,47,2011
iq,5,48,2011
iq,5,49,2011
iq,5,50,2011
iq,5,51,2011
iq,4,52,2012
iq,15,1,2012
iq,18,2,2012
iq,14,3,2012
iq,5,4,2012
iq,18,5,2012
iq,17,6,2012
iq,12,7,2012
iq,7,8,2012
iq,3,9,2012
iq,6,10,2012
iq,1,11,2012
iq,1,12,2012
iq,5,13,2012
iq,4,14,2012
iq,5,15,2012
iq,5,16,2012
iq,5,17,2012
iq,5,18,2012
iq,1,19,2012
iq,5,20,2012
iq,1,21,2012
iq,1,22,2012
iq,1,23,2012
iq,3,24,2012
iq,1,25,2012
iq,1,26,2012
iq,3,27,2012
iq,3,28,2012
iq,3,29,2012
iq,3,30,2012
iq,1,31,2012
iq,1,32,2012
iq,1,33,2012
iq,2,34,2012
iq,1,35,2012
iq,1,36,2012
iq,2,37,2012
iq,2,38,2012
iq,2,39,2012
iq,1,40,2012
iq,4,41,2012
iq,3,42,2012
iq,5,43,2012
iq,5,44,2012
iq,4,45,2012
iq,5,46,2012
iq,6,47,2012
iq,6,48,2012
iq,5,49,2012
iq,5,50,2012
iq,5,51,2012
iq,10,1,2013
iq,3,2,2013
iq,4,3,2013
iq,13,4,2013
iq,14,5,2013
iq,11,6,2013
iq,13,7,2013
iq,15,8,2013
iq,14,9,2013
iq,6,10,2013
iq,6,11,2013
iq,6,12,2013
iq,5,13,2013
iq,5,14,2013
iq,5,15,2013
iq,5,16,2013
iq,5,17,2013
iq,1,18,2013
iq,5,19,2013
iq,5,20,2013
iq,3,21,2013
iq,1,22,2013
iq,3,23,2013
iq,1,24,2013
iq,1,25,2013
iq,1,26,2013
