city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,7
sj,2008,20,8
sj,2008,21,10
sj,2008,22,9
sj,2008,23,12
sj,2008,24,8
sj,2008,25,11
sj,2008,26,13
sj,2008,27,14
sj,2008,28,12
sj,2008,29,17
sj,2008,30,16
sj,2008,31,16
sj,2008,32,45
sj,2008,33,31
sj,2008,34,29
sj,2008,35,34
sj,2008,36,99
sj,2008,37,35
sj,2008,38,38
sj,2008,39,40
sj,2008,40,39
sj,2008,41,48
sj,2008,42,46
sj,2008,43,41
sj,2008,44,47
sj,2008,45,33
sj,2008,46,42
sj,2008,47,40
sj,2008,48,39
sj,2008,49,41
sj,2008,50,36
sj,2008,51,25
sj,2008,52,26
sj,2009,1,65
sj,2009,2,19
sj,2009,3,22
sj,2009,4,20
sj,2009,5,21
sj,2009,6,12
sj,2009,7,19
sj,2009,8,19
sj,2009,9,18
sj,2009,10,8
sj,2009,11,8
sj,2009,12,7
sj,2009,13,7
sj,2009,14,9
sj,2009,15,8
sj,2009,16,7
sj,2009,17,7
sj,2009,18,7
sj,2009,19,7
sj,2009,20,8
sj,2009,21,8
sj,2009,22,11
sj,2009,23,9
sj,2009,24,10
sj,2009,25,12
sj,2009,26,12
sj,2009,27,14
sj,2009,28,14
sj,2009,29,16
sj,2009,30,22
sj,2009,31,18
sj,2009,32,29
sj,2009,33,27
sj,2009,34,29
sj,2009,35,37
sj,2009,36,32
sj,2009,37,36
sj,2009,38,43
sj,2009,39,41
sj,2009,40,39
sj,2009,41,47
sj,2009,42,48
sj,2009,43,22
sj,2009,44,35
sj,2009,45,24
sj,2009,46,17
sj,2009,47,25
sj,2009,48,46
sj,2009,49,51
sj,2009,50,23
sj,2009,51,47
sj,2009,52,19
sj,2010,53,47
sj,2010,1,39
sj,2010,2,32
sj,2010,3,57
sj,2010,4,46
sj,2010,5,24
sj,2010,6,20
sj,2010,7,22
sj,2010,8,18
sj,2010,9,32
sj,2010,10,12
sj,2010,11,8
sj,2010,12,8
sj,2010,13,8
sj,2010,14,7
sj,2010,15,7
sj,2010,16,8
sj,2010,17,10
sj,2010,18,9
sj,2010,19,7
sj,2010,20,11
sj,2010,21,11
sj,2010,22,33
sj,2010,23,44
sj,2010,24,28
sj,2010,25,34
sj,2010,26,44
sj,2010,27,49
sj,2010,28,48
sj,2010,29,37
sj,2010,30,44
sj,2010,31,48
sj,2010,32,109
sj,2010,33,63
sj,2010,34,116
sj,2010,35,114
sj,2010,36,192
sj,2010,37,96
sj,2010,38,38
sj,2010,39,38
sj,2010,40,39
sj,2010,41,87
sj,2010,42,41
sj,2010,43,25
sj,2010,44,51
sj,2010,45,39
sj,2010,46,43
sj,2010,47,29
sj,2010,48,28
sj,2010,49,43
sj,2010,50,15
sj,2010,51,19
sj,2011,52,41
sj,2011,1,20
sj,2011,2,22
sj,2011,3,20
sj,2011,4,23
sj,2011,5,22
sj,2011,6,19
sj,2011,7,12
sj,2011,8,14
sj,2011,9,10
sj,2011,10,8
sj,2011,11,8
sj,2011,12,9
sj,2011,13,8
sj,2011,14,8
sj,2011,15,8
sj,2011,16,8
sj,2011,17,7
sj,2011,18,7
sj,2011,19,7
sj,2011,20,8
sj,2011,21,10
sj,2011,22,12
sj,2011,23,11
sj,2011,24,36
sj,2011,25,36
sj,2011,26,28
sj,2011,27,35
sj,2011,28,34
sj,2011,29,14
sj,2011,30,57
sj,2011,31,31
sj,2011,32,177
sj,2011,33,34
sj,2011,34,209
sj,2011,35,52
sj,2011,36,39
sj,2011,37,46
sj,2011,38,31
sj,2011,39,37
sj,2011,40,37
sj,2011,41,39
sj,2011,42,26
sj,2011,43,26
sj,2011,44,39
sj,2011,45,40
sj,2011,46,25
sj,2011,47,32
sj,2011,48,33
sj,2011,49,19
sj,2011,50,46
sj,2011,51,33
sj,2012,52,36
sj,2012,1,25
sj,2012,2,20
sj,2012,3,22
sj,2012,4,23
sj,2012,5,21
sj,2012,6,20
sj,2012,7,10
sj,2012,8,18
sj,2012,9,10
sj,2012,10,12
sj,2012,11,9
sj,2012,12,7
sj,2012,13,7
sj,2012,14,7
sj,2012,15,7
sj,2012,16,10
sj,2012,17,7
sj,2012,18,10
sj,2012,19,8
sj,2012,20,10
sj,2012,21,12
sj,2012,22,11
sj,2012,23,11
sj,2012,24,12
sj,2012,25,13
sj,2012,26,14
sj,2012,27,13
sj,2012,28,13
sj,2012,29,20
sj,2012,30,49
sj,2012,31,16
sj,2012,32,55
sj,2012,33,57
sj,2012,34,41
sj,2012,35,21
sj,2012,36,51
sj,2012,37,55
sj,2012,38,36
sj,2012,39,35
sj,2012,40,40
sj,2012,41,47
sj,2012,42,41
sj,2012,43,41
sj,2012,44,26
sj,2012,45,56
sj,2012,46,47
sj,2012,47,34
sj,2012,48,25
sj,2012,49,31
sj,2012,50,13
sj,2012,51,19
sj,2013,1,18
sj,2013,2,25
sj,2013,3,14
sj,2013,4,15
sj,2013,5,25
sj,2013,6,18
sj,2013,7,19
sj,2013,8,10
sj,2013,9,13
sj,2013,10,9
sj,2013,11,9
sj,2013,12,7
sj,2013,13,7
sj,2013,14,7
sj,2013,15,7
sj,2013,16,10
sj,2013,17,7
iq,2010,26,3
iq,2010,27,2
iq,2010,28,6
iq,2010,29,1
